x,y,f_xy,pmi
寅,恪,5,13.605864849623263
熊,猫,15,13.589784244108667
膨,胀,96,13.578314471377658
麻,烦,22,13.552042150117117
悄,悄,19,13.5488373467832
ｉ,ｎ,5,13.545959098065273
镰,刀,7,13.543359907017315
牡,丹,30,13.531864268179486
咨,询,70,13.531864268179486
橱,窗,9,13.531864268179486
妨,碍,16,13.528112133318379
桐,柏,11,13.52097595203675
丘,陵,8,13.520637012756232
糖,尿,8,13.514437196421301
ｒ,ｎ,6,13.474574464828507
瓶,颈,6,13.469768147087574
瓶,尿,6,13.469768147087574
彭,珮,9,13.444401426929147
匮,乏,7,13.44305500122163
浮,躁,7,13.435002728926898
侥,幸,5,13.435002728926897
倪,萍,5,13.42752760836475
渭,渔,7,13.421681350429063
杆,秤,6,13.410234823777955
阔,斧,8,13.402581251234519
姑,娘,54,13.40105539700356
驾,驶,49,13.39782218692188
捕,捉,10,13.381665671581185
ｅ,ｔ,6,13.379861174734437
叔,叔,10,13.379861174734437
疯,狂,8,13.361939266737174
壁,垒,10,13.354832380242915
吞,吐,11,13.34743969704206
偏,僻,9,13.335467055375982
恐,怖,89,13.335467055375982
蓬,勃,27,13.313293557795447
辐,射,33,13.309471846843039
谨,慎,18,13.309471846843039
殷,殷,9,13.300909833339615
栅,栏,29,13.29269099907814
匈,牙,14,13.292398333484098
糊,涂,5,13.273847937112317
跺,脚,5,13.268829862345692
婚,姻,6,13.25884577377307
隐,瞒,7,13.251756348986751
屡,屡,7,13.25057815778947
胸,襟,6,13.25057815778947
丝,绸,12,13.2362228648124
Ｒ,Ｏ,7,13.233019786405166
痹,症,7,13.230694733458922
惊,讶,5,13.229301498159055
逃,逸,9,13.218869298062131
葛,娟,5,13.211540058994714
嘴,唇,6,13.209936173292125
遗,憾,37,13.196138626014582
舰,艇,9,13.189597506114037
沸,腾,9,13.183463961930933
颈,鹿,5,13.171968323093104
酸,盐,5,13.170407809105486
覆,盖,51,13.168115997597496
晶,莹,13,13.164421514039756
Ｎ,Ｅ,9,13.164355138983229
澜,涛,44,13.150168388458475
孤,寡,14,13.142821977433588
乳,汁,5,13.14107431514732
糖,馅,5,13.12587190850365
诈,骗,11,13.125047275705612
摧,毁,6,13.121844843667267
擀,皮,6,13.116826768900642
姜,渭,7,13.116826768900642
扑,鼻,5,13.113824280739118
猪,瘟,8,13.102806298585708
渲,染,10,13.094458955872188
戈,壁,15,13.077298404714005
忙,碌,20,13.07243264954219
萎,缩,9,13.063554498195737
锋,芒,5,13.057933079847073
漏,洞,18,13.057933079847073
冯,霄,5,13.056491105673167
沧,桑,14,13.049712573042106
缠,绵,5,13.046437441009244
Ｓ,Ｏ,23,13.042336224796056
绥,芬,6,13.035269359722744
隐,匿,5,13.029363927650303
朵,朵,6,13.028185736453022
倾,斜,30,13.016690097615193
屠,杀,16,13.01353896048862
肩,膀,6,13.011791298202354
ｎ,ｅ,6,13.010627365068718
娃,娃,11,12.991295886816784
拱,坝,6,12.987543751955677
诞,辰,28,12.9755711102896
泄,漏,7,12.972896975991274
麻,雀,8,12.967079649395961
盗,窃,19,12.966010590406034
踊,跃,27,12.953596420032339
矛,盾,147,12.947583473770164
虔,诚,5,12.94690176745833
咎,辞,6,12.94690176745833
坤,奠,8,12.936917678885708
啤,酒,48,12.933604944844872
兄,弟,52,12.921564990143592
佰,伴,9,12.920429556097139
浩,瀚,5,12.903479487167202
昆,仑,8,12.858653358510448
琢,磨,5,12.853792363066848
陶,宛,15,12.853792363066848
莱,坞,7,12.847366093907416
亨,廷,12,12.840702363626406
尹,鸿,9,12.835540658510626
赔,偿,76,12.833372821827917
跌,宕,8,12.819146220259958
牲,畜,13,12.81632753807212
帷,幕,19,12.802511858123156
螺,旋,5,12.79489867401328
朱,镕,51,12.759274764282559
竹,箫,5,12.759274764282559
仿,佛,39,12.758372797988166
湘,潭,10,12.75693082381426
耽,误,7,12.74676215296901
茁,壮,5,12.74526790628868
荡,漾,5,12.74062901148516
肝,胆,7,12.739306348049963
蔓,延,27,12.725782125243596
蛋,糕,10,12.70856780225286
晨,曦,7,12.701789269621798
邱,玲,19,12.699418365159053
艾,滋,34,12.696494969952285
甘,肃,53,12.690562014198544
翻,译,21,12.689763400814803
鸿,雁,14,12.679421456593344
板,栗,11,12.669367791929421
欺,骗,8,12.665615657068313
跟,踪,19,12.662004403515935
摆,勺,11,12.661873255382497
赐,稿,5,12.657395150263346
煤,炭,35,12.64650683412061
碧,蓉,16,12.64650683412061
赣,莲,5,12.644338997437899
纱,帽,5,12.6313999417304
Ｖ,Ｃ,29,12.630511856112397
尖,锐,12,12.624973672570967
纠,缠,6,12.624973672570967
癌,症,12,12.623638461887149
庄,稼,15,12.61220637649709
蓉,蓉,21,12.598251665513388
钓,鱼,18,12.59384572488727
描,绘,18,12.59326481284363
巩,固,91,12.591198407561889
嫌,疑,67,12.590692537999013
秩,序,112,12.58804710357261
侈,浪,16,12.582199648880676
渗,透,17,12.58101775253235
耳,聋,9,12.577093522172484
廊,坊,6,12.57078978008781
琳,娜,8,12.569932309013005
凰,岭,10,12.568390144204601
跋,涉,11,12.565963406810061
淄,博,10,12.562237917223005
堡,垒,6,12.560533611010756
粉,碎,10,12.548490586766896
绚,烂,5,12.546971160569695
喧,闹,5,12.546971160569695
炸,弹,18,12.543880974313785
蒂,厄,6,12.534371123790061
熏,陶,5,12.531864268179486
侵,吞,12,12.531864268179486
侵,蚀,7,12.531864268179486
挂,钩,19,12.521880179606864
悠,悠,12,12.521465671619271
枢,纽,7,12.514790754820545
宙,尘,6,12.514437196421301
歼,灭,5,12.50801752622512
残,疾,34,12.506742804631301
幽,默,18,12.504845684897019
逻,辑,6,12.502116924785435
卑,微,6,12.502116924785435
佳,肴,9,12.499393316196851
辉,煌,75,12.49780510376581
苍,岩,15,12.496240358448764
彭,楚,86,12.49562675028432
避,孕,43,12.49369672318592
夏,茸,7,12.486776378650948
旗,帜,139,12.48610787993234
嘘,寒,6,12.485043411426492
络,绎,8,12.485043411426492
涅,姆,5,12.48455855340113
诉,讼,73,12.458615286148847
谭,彦,7,12.444401426929147
揣,摩,5,12.438754863788004
遵,循,34,12.43115040343129
滩,涂,9,12.426699425195688
Ｉ,Ｓ,22,12.424607557564519
皮,肤,7,12.421681350429063
阻,挡,11,12.41638705075955
夏,珺,5,12.41638705075955
夏,鳗,5,12.41638705075955
郁,郁,8,12.41407689007235
挖,掘,19,12.40258125123452
伦,敦,58,12.394313635250919
衰,竭,8,12.394019237731095
细,腻,8,12.391176487962271
陶,铸,12,12.379861174734437
储,蓄,32,12.378734509280152
淀,粉,7,12.36512332241251
蛙,泳,6,12.355275536456164
翟,俊,5,12.345997722868153
剥,削,12,12.338384538758277
沉,浸,14,12.338280241267476
恐,惧,5,12.335467055375982
束,缚,23,12.332049694818249
船,舶,54,12.331101862814581
威,胁,58,12.328399061156452
Ｉ,Ｎ,12,12.319525511506962
框,架,42,12.3053883597101
侨,眷,9,12.292398333484098
仔,细,29,12.285683359114957
踞,钟,66,12.277050369150661
贪,污,51,12.276017997066086
Ｃ,Ｄ,58,12.275669138752301
旁,遮,5,12.273847937112317
扭,亏,28,12.273129999779318
徇,私,8,12.271336717956267
—,Ｒ,6,12.2643839573145
孙,孚,16,12.259104901755965
缤,纷,16,12.25884577377307
爷,爷,44,12.252828267485345
简,陋,9,12.252411315648423
